Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP)
Microcontroller,ATmega328P-PU 8-bit MCU,1,Microchip,ATMEGA328P-PU,https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328P-Data-Sheet-DS40002061B.pdf,95,95
Crystal Oscillator,16 MHz Crystal Resonator,1,Generic,XTAL-16MHZ,https://microohm-eg.com/product/16mhz-crystal-oscillator-hc49s/,5,100
Capacitor,22 pF Ceramic Capacitor,2,Generic,CERA-22PF,https://microohm-eg.com/product/ceramic-capacitor-22pf-50v-5/,1,101
Voltage Regulator,5V Linear Regulator (LM7805),1,STMicroelectronics,L7805CV,https://www.st.com/resource/en/datasheet/l7805.pdf,10,111
LDR,Photo Resistor Sensor LDR 5mm,1,Generic,GL7537,https://microohm-eg.com/product/photo-resistor-sensor-ldr-5mm-5537/,5,116
LED,"Blue LED, 3mm",1,Everlight Electronics,204-10UBC/S400-A6,https://mostelectronic.com/shop/displays-lcd-7-seg-led/leds-displays-lcd-7-seg-led/led-blue-color-3mm/,1,117
Resistor,"10k Ohm, 0.25W",1,Yageo,MFR-25FBF52-330R,https://microohm-eg.com/product/resistors-10k-ohm-1-4-watt-10pcs/,1.5,118.5
Potentiometer,"10 k?, 3-pin (variable resistor)",1,Generic,Mpot10K_3pin,https://microohm-eg.com/product/potentiometer-10k-ohm-3-pin/,5.5,124
Push Button,Tactile Push Button Switch,4,Omron,B3F-1000,https://microohm-eg.com/product/press-4pin-push-button-switch-6x6x7-5mm/,1,125
Jumper Wires,Male-to-Male,12,Generic,JW-MM-65,https://microohm-eg.com/product/jumper-wires-for-bread-board-arduino-65pcs/,5,130
Breadboard,MB-102 830-point solderless breadboard,2,Generic,MB-102,https://microohm-eg.com/product/mb102-830-points-solderless-prototype-pcb-breadboard-high-quality/,35,165
LCD display,16×2 LCD (HD44780 compatible),1,Generic,,https://microohm-eg.com/product/lcd2004-parallel-lcd-display-with-blue-backlight/,275,440
